transaction_id,timestamp,lock_held,lock_re..quested,deadlock_occurred
6ff833ad-d14a-4137-beae-ed8b9b116df1,2024-10-18 00:01:08,True,True,0
5fb64107-ee1b-482b-bc94-619c3b0e6c61,2024-10-18 00:01:09,True,False,0
f1fc76b4-bbcd-4998-ad75-6c61c92b4782,2024-10-18 00:01:10,False,False,1
c64ef609-90c2-4f19-8b11-108f6b14a3d0,2024-10-18 00:01:11,True,False,0
8e12804c-de7f-453c-aae1-e39e7dc69abf,2024-10-18 00:01:12,False,False,0
ef2fbe9f-6f65-4362-ac79-1bd94f7cc44c,2024-10-18 00:01:13,True,True,0
eec46995-598a-4268-88b9-cd8f17669679,2024-10-18 00:01:14,True,True,1
eb044aeb-0235-4e8b-a489-f23dc26f92d3,2024-10-18 00:01:15,False,True,0
54fa9715-790d-46c9-9692-ef4005a74c34,2024-10-18 00:01:16,False,True,1
c04728ed-fcfc-410c-8033-84db39649682,2024-10-18 00:01:17,True,False,0
711370ff-2986-4a7a-bd63-8f49f98f9685,2024-10-18 00:01:18,True,False,0
951a5c78-923b-461a-99f7-3f5da1a6088c,2024-10-18 00:01:19,False,True,0
c532fa60-1061-4a71-8cae-f08d369aa969,2024-10-18 00:01:20,False,False,0
9ce675d2-8d13-4328-9a1a-5ae2650494df,2024-10-18 00:01:21,True,True,0
6d8a96c7-663d-422b-b2ba-2a4202f6d874,2024-10-18 00:01:22,False,True,1
5f95a063-0c69-4953-8d86-17e0ec9697cc,2024-10-18 00:01:23,True,False,0
52f5aaec-4118-4dcb-9feb-7eff57a01842,2024-10-18 00:01:24,True,False,1
944492a4-9980-4db9-8a2f-c191040997ba,2024-10-18 00:01:25,True,True,1
79eb9cbc-db99-4841-9281-a9d2431f6efe,2024-10-18 00:01:26,False,True,0
9b3e715f-4b2b-4bbc-8fb9-9d9ef481b4fd,2024-10-18 00:01:27,False,True,0
d5654c46-c592-4e96-b5b9-66e723477877,2024-10-18 00:01:28,False,True,1
502f9f3f-308e-42af-b344-89ef4d127385,2024-10-18 00:01:29,False,True,0
e92acf65-78d4-4993-b1a2-cd4be34d14fb,2024-10-18 00:01:30,False,True,0
388c18ce-8631-4344-9458-2012ac30bea4,2024-10-18 00:01:31,False,False,0
44821a9c-d1ad-4120-b93f-36e1676eff07,2024-10-18 00:01:32,False,False,1
1cbf0cf6-34d7-497a-921c-1c6ec1d555f2,2024-10-18 00:01:33,True,True,0
ecbd591c-e28e-48ae-96cf-b7ee02797faa,2024-10-18 00:01:34,True,True,1
ef4d9cbf-75e3-4ef8-bbba-4127d56fc265,2024-10-18 00:01:35,False,True,1
30a8f5fb-a612-4bd1-8d93-989899110142,2024-10-18 00:01:36,False,True,1
99180212-65b8-4ae4-b112-32373dc27f00,2024-10-18 00:01:37,False,True,0
68eae40c-7262-41dc-bc74-fa558876d562,2024-10-18 00:01:38,True,True,0
5a551eff-9aff-485e-94db-ec136bda74d3,2024-10-18 00:01:39,True,True,0
8fb2e354-6937-4830-9776-26a69e883ab4,2024-10-18 00:01:40,False,False,0
31097c7c-ec04-4bad-a44b-8f18c8d8a626,2024-10-18 00:01:41,True,False,1
4359dbf8-7d60-4e81-bb5e-01e1658a3e82,2024-10-18 00:01:42,False,False,0
8ba19edc-bbf4-435f-b5da-1521ce9a2274,2024-10-18 00:01:43,True,True,1
ea13b64c-781e-40b1-b5c3-7609c28adc9f,2024-10-18 00:01:44,True,True,0
5d991dbc-baba-4215-bdf3-158709f787e2,2024-10-18 00:01:45,False,True,0
435d807b-d84e-42c9-b5fb-38d63d821b91,2024-10-18 00:01:46,True,True,1
bc89b9b3-320e-4ff1-9836-310b056a4b9b,2024-10-18 00:01:47,True,True,0
7447eedd-77ea-4b7c-815c-56c0d9533d89,2024-10-18 00:01:48,True,True,0
d6eb6f6c-e637-4e02-bc7e-e86a0e0d1368,2024-10-18 00:01:49,True,False,1
317df8a4-d736-401a-9d73-eb626ab5b26e,2024-10-18 00:01:50,True,False,0
cca58f77-8d84-4b6d-b507-3264b1265f76,2024-10-18 00:01:51,True,True,0
3461dbd4-2bb0-4dd3-a511-a7196e9bc153,2024-10-18 00:01:52,True,False,1
7abe797e-fa59-4536-8163-98469df55053,2024-10-18 00:01:53,False,False,0
77bbec09-c5d4-4f03-aa7d-a228cfc9a82a,2024-10-18 00:01:54,False,False,1
479f89a8-8cd7-45d6-9b38-732887aeff6f,2024-10-18 00:01:55,True,False,0
6da246df-58f3-4d9e-9bf5-341628b10e28,2024-10-18 00:01:56,False,True,0
39a099e0-2409-49e8-87a3-50bee89b7824,2024-10-18 00:01:57,False,False,1
